project,bug_id,split,method,num_test_classes,num_trigger_classes,first_trigger_rank,normalized_first_trigger_rank,detected_at_1pct,detected_at_2pct,detected_at_5pct,detected_at_10pct,detected_at_20pct,detected_at_50pct,detected_at_100pct,reciprocal_rank,apfd,candidate_trigger_in_top200,reranker_input_tokens,reranker_output_tokens,reranker_cost_usd,reranker_wall_ms,patch_truncated,missing_test_source_count,qualified_id,experiment_commit,run_id,available
Cli,9,evaluation,Jev,22,2,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,39204.0,528.0,0.0017371292400000001,2855.9568320051767,false,0,Cli-9,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,9,evaluation,GPT-Nano,22,2,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,31562.0,418.0,0.0072108195,4029.667358030565,false,0,Cli-9,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,10,evaluation,Random,22,1,11.466,0.5211818181818185,0.04,0.04,0.081,0.125,0.212,0.516,1.0,0.16132995020974916,0.5015454545454545,true,,,0.0,,false,0,Cli-10,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,10,evaluation,BM25,22,1,11,0.5,false,false,false,false,false,true,true,0.09090909090909091,0.5227272727272727,true,,,0.0,,false,0,Cli-10,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,10,evaluation,Embedding,22,1,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,14618.883333333333,0.0,0.0003065256783333333,178.05556124949362,false,0,Cli-10,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,10,evaluation,Jev,22,1,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,40970.0,528.0,0.0018153807000000001,1615.7674429705366,false,0,Cli-10,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,10,evaluation,GPT-Nano,22,1,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,33132.0,418.0,0.0075420895000000016,2472.8393040131778,false,0,Cli-10,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,11,evaluation,Random,24,1,12.687,0.528625,0.042,0.042,0.082,0.115,0.194,0.498,1.0,0.1542686653485009,0.4922083333333335,true,,,0.0,,false,0,Cli-11,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,11,evaluation,BM25,24,1,2,0.08333333333333333,false,false,true,true,true,true,true,0.5,0.9375,true,,,0.0,,false,0,Cli-11,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,11,evaluation,Embedding,24,1,1,0.041666666666666664,true,true,true,true,true,true,true,1.0,0.9791666666666667,true,17974.791666666668,0.0,0.0003792681041666667,66.8465248029679,false,0,Cli-11,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,11,evaluation,Jev,24,1,1,0.041666666666666664,true,true,true,true,true,true,true,1.0,0.9791666666666667,true,43669.0,576.0,0.0019349733899999997,1938.8387980288826,false,0,Cli-11,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,11,evaluation,GPT-Nano,24,1,1,0.041666666666666664,true,true,true,true,true,true,true,1.0,0.9791666666666667,true,35359.0,456.0,0.008062099000000001,3388.9294829568826,false,0,Cli-11,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,12,evaluation,Random,22,1,11.317,0.5144090909090905,0.049,0.049,0.104,0.144,0.227,0.52,1.0,0.17396252515114705,0.5083181818181821,true,,,0.0,,false,0,Cli-12,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,12,evaluation,BM25,22,1,5,0.22727272727272727,false,false,false,false,true,true,true,0.2,0.7954545454545454,true,,,0.0,,false,0,Cli-12,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,12,evaluation,Embedding,22,1,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,14348.852272727274,0.0,0.0003027607829545455,125.09418830785546,false,0,Cli-12,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,12,evaluation,Jev,22,1,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,43698.0,528.0,0.0019362583800000002,1279.4714139890857,false,0,Cli-12,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,12,evaluation,GPT-Nano,22,1,1,0.045454545454545456,true,true,true,true,true,true,true,1.0,0.9772727272727273,true,35661.0,418.0,0.0080757085,3804.265835962724,false,0,Cli-12,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,13,evaluation,Random,45,1,22.521,0.5004666666666667,0.035,0.035,0.083,0.125,0.198,0.53,1.0,0.10942889459823148,0.5106444444444447,true,,,0.0,,false,0,Cli-13,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,13,evaluation,BM25,45,1,22,0.4888888888888889,false,false,false,false,false,true,true,0.045454545454545456,0.5222222222222221,true,,,0.0,,false,0,Cli-13,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,13,evaluation,Embedding,45,1,30,0.6666666666666666,false,false,false,false,false,false,true,0.03333333333333333,0.3444444444444445,true,34467.0,0.0,0.0002429876,277.18981408928386,false,0,Cli-13,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
Cli,13,evaluation,Jev,45,1,12,0.26666666666666666,false,false,false,false,false,true,true,0.08333333333333333,0.7444444444444445,true,109725.0,1080.0,0.00486191475,2934.349629038479,false,0,Cli-13,edc70bacd23f2fc5f511ef4d97a33376e7b20bf8,eval-v1-20260923T035853+0000,true
